Order,Genus,Species
Diptera,Tabanus,planiventre  
Diptera,Oestranthrax,brunnescens  
Diptera,Leptomydas,lusitanicus  
Diptera,Ectyphus,pinguis  
Diptera,Midas,brevicornis  
Diptera,Diochlistus,mitis  
Diptera,Apiophora,paulseni  
Diptera,Leptomydas,humeralis  
Diptera,Anthrax,tripunctata  
Diptera,Anthrax,biflexa  
Diptera,Exoprosopa,nigripennis  
Diptera,Exoprosopa,ventrimacula  
Diptera,Anthrax,epilais  
Diptera,Blepharotes,coriarius  
Diptera,Laphria,dimidiata  
Diptera,Alcimus,longurio  
Diptera,Laphria,splendidissimus  
Diptera,Laphria,haemorrhoa  
Diptera,Alcimus,stenurus  
Diptera,Silbomyia,latigena  
Diptera,Dasypogon,flavipennis  
Diptera,Grapholostylum,latifrons  
Diptera,Volucella,elegans  
Diptera,Volucella,liquida  
Diptera,Stilbosoma,cyaneum  
Diptera,Maira,splendida  
Diptera,Acanthopleura,ravus  
Diptera,Acanthopleura,goedli  
Coleoptera,Gymnopleurus,sericeifrons  
Coleoptera,Gymnopleurus,sericeifrons  
Coleoptera,Gymnopleurus,sericeifrons  
Coleoptera,Gymnopleurus,virens  
Coleoptera,Gymnopleurus,krugeri  
Coleoptera,Gymnopleurus,ignitus  
Coleoptera,Gymnopleurus,laeviusculus  
Hymenoptera,Doryctes,deuticoxa  
Hymenoptera,Doryctes,fulviceps  
Hymenoptera,Doryctes,pomarius  
Coleoptera,Garreta,azureus var cupreus
Coleoptera,Gymnopleurus,splendens var coeruleovirens
Coleoptera,Garreta,azureus var gracilipes
Hymenoptera,Cephalochrysis,ehrenbergi  
Coleoptera,Garreta,azureus  
Coleoptera,Garreta,azureus  
Coleoptera,Garreta,azureus  
Hymenoptera,Zethus,indicus  
Hymenoptera,Chrysis,marqueti  
Hymenoptera,Chrysis,marqueti  
Coleoptera,Leucocelis,uluguruensis  
Diptera,Pancala,var viridescens 
Diptera,Leptogaster,nitidus  
Diptera,Ammophilomima,auripennis  
Diptera,Ammophilomima,imitatrix  
Hymenoptera,Priocnemis,trigeminus  
Hymenoptera,Priocnemis,trigeminus  
Hymenoptera,Vespula,germanica  
Coleoptera,Cicindela,campestris  
Hymenoptera,Priocnemis,trigeminus  
Diptera,Aedes,aegypti  
Hemiptera,Tettigonia,ichthyocephala  
Hymenoptera,Paraponera,clavata  
Hymenoptera,Clistopyga,sauberi  
Hymenoptera,Eumenes,pallidipes var rufiventris
Hymenoptera,Eumenes,pallidipes  
Coleoptera,Leucocelis,triliturata  
Hymenoptera,Eumenes,strandi  
Hymenoptera,Eumenes,olympicus  
Hymenoptera,Eumenes,duckei  
Hymenoptera,Eumenes,colombianus  
Hymenoptera,Cryptophion,strandi  
Hymenoptera,Ornepetes,pubescens  
Hymenoptera,Ornepetes,trifasciatus  
Hymenoptera,Ornepetes,trifasciatus  
Hymenoptera,Ornepetes,trifasciatus  
Hymenoptera,Ornepetes,trifasciatus  
Hymenoptera,Anthidium,forcipatum  
Hymenoptera,Anthidium,forcipatum  
Hymenoptera,Anthidium,forcipatum  
Coleoptera,Colacus,morio  
Coleoptera,Canthon,auricollis  
Hymenoptera,Pristiphora,pseudodecipiens  
Hymenoptera,Anthidium,aquiphilium  
Coleoptera,Leucopholis,irrorata  
Coleoptera,Leucopholis,irrorata  
Coleoptera,Colacus,bicolor  
Coleoptera,Colacus,bicolor  
Coleoptera,Colacus,bicolor  
Hymenoptera,Anthidium,formosanum  
Hemiptera,Eucorysses,iris  
Hymenoptera,Melipona,picadensis  
Hymenoptera,Melipona,paraguayaca  
Coleoptera,Leucopholis,irrorata  
Hemiptera,Hemidictya,frondosa  
Hemiptera,Hemidictya,frondosa  
Coleoptera,Onthophagus,elegans  
Coleoptera,Onthophagus,elegans  
Hymenoptera,Trigona,helleri  
Coleoptera,Pistosia,maculata  
Coleoptera,Onthophagus,elegans  
Coleoptera,Onthophagus,elegans  
Hymenoptera,Bombus,spec  
Hemiptera,Cicadella,viridis  
Hymenoptera,Priocnemis,faillae  
Diptera,Pancala,gemmata  
Diptera,Pancala,eos  
Coleoptera,Golofa,testudinarius  
Coleoptera,Golofa,testudinarius  
Diptera,Cylindromyia,uncinata  
Hymenoptera,Chrysis,comparata  
Diptera,Phasia,aurigera  
Coleoptera,Cteniopus,spec  
Lepidoptera,Polyommatus,spec  
Hemiptera,Graphosoma,lineatum  
Hymenoptera,Megalara,garuda  
Hymenoptera,Ampulex,dementor  
Hymenoptera,Bombus,terrestris  
